Time: 49.79, Collision Actor ID: 46, Collision Actor Type: vehicle.audi.a2
Time: 77.29, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 50.64, Collision Actor ID: 46, Collision Actor Type: vehicle.audi.a2
Time: 81.04, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 95.49, Collision Actor ID: 66, Collision Actor Type: vehicle.tesla.model3
Time: 53.83, Collision Actor ID: 46, Collision Actor Type: vehicle.audi.a2
Time: 35.23, Collision Actor ID: 39, Collision Actor Type: walker.pedestrian.0025
Time: 63.38, Collision Actor ID: 46, Collision Actor Type: vehicle.audi.a2
Time: 76.84, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 49.54, Collision Actor ID: 46, Collision Actor Type: vehicle.audi.a2
Time: 77.34, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 124.64, Collision Actor ID: 66, Collision Actor Type: vehicle.tesla.model3
Time: 115.17, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 24.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.21, Collision Actor ID: 33, Collision Actor Type: vehicle.tesla.model3
Time: 69.49, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 63.04, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 69.17, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 52.42, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 53.97, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 54.84, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.75, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 70.35, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 70.65, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 70.17, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 110.84, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 69.17, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 60.53, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 59.12, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 60.05, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 59.5, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 59.6, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 17.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 18.74, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.49, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.45, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.37, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 18.27, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.8, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 19.71, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.81, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.07, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 19.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 39.98, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 18.21, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 23.51, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 41.07, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 82.77, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.22, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 19.71, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 31.84, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.31, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.72, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.64, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 44.29, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 17.75, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 74.74, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 119.67, Collision Actor ID: 89, Collision Actor Type: vehicle.audi.a2
Time: 41.95, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 95.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.43, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 116.34, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.64, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 42.51, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 15.79, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.64, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.41, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.41, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 22.19, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.79, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.15, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.46, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 18.66, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.88, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 16.45, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 19.05, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.14, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 46.14, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 15.74, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.32, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.2, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 81.01, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 19.85, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.92, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 56.7, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 39.54, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 16.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 36.83, Collision Actor ID: 47, Collision Actor Type: vehicle.audi.a2
Time: 60.38, Collision Actor ID: 61, Collision Actor Type: vehicle.audi.a2
Time: 16.75, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.83, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.17, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.02, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.83, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.84, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.87, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 36.99, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 16.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.63, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.93, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 37.99, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 15.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 19.2, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.56, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.37, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.03, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.56, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.48, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 20.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 22.08, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 22.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.61, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.27, Collision Actor ID: 0, Collision Actor Type: static.sidewalk
Time: 53.63, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 16.58, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.05, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.76, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.32, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.03, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.05, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.24, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 53.93, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 68.09, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 66.47, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 65.89, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 64.68, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 39.34, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 39.54, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 64.09, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 39.89, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 62.79, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 46.16, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 40.7, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 41.69, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 44.69, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 71.09, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 45.31, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 71.76, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 19.01, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 36.81, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 18.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 19.31, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.24, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 28.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 105.77, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 96.0, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 86.25, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 99.99, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 98.72, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.19, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.12, Collision Actor ID: 0, Collision Actor Type: static.terrain
