Time: 17.0, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.41, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.13, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.03, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 15.48, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.51, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 14.96, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.3, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 15.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.79, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.74, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.37, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.58, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.54, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.64, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.41, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.16, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.52, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 16.97, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.44, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.98, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.44, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 15.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.32, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 26.03, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.45, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 10.05, Collision Actor ID: 31, Collision Actor Type: vehicle.audi.a2
Time: 10.5, Collision Actor ID: 0, Collision Actor Type: static.road
Time: 10.13, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.5, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 11.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 22.8, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.08, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 23.21, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.68, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 15.18, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.04, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 23.79, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.84, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 53.44, Collision Actor ID: 41, Collision Actor Type: vehicle.audi.a2
Time: 73.79, Collision Actor ID: 49, Collision Actor Type: vehicle.audi.a2
Time: 95.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.79, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.93, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.28, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 13.93, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 23.01, Collision Actor ID: 33, Collision Actor Type: vehicle.tesla.model3
Time: 54.66, Collision Actor ID: 43, Collision Actor Type: vehicle.tesla.model3
Time: 58.46, Collision Actor ID: 45, Collision Actor Type: vehicle.audi.a2
Time: 10.45, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 10.75, Collision Actor ID: 31, Collision Actor Type: vehicle.audi.a2
Time: 10.42, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 20.57, Collision Actor ID: 33, Collision Actor Type: vehicle.tesla.model3
Time: 9.98, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 10.29, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 10.94, Collision Actor ID: 31, Collision Actor Type: vehicle.audi.a2
Time: 50.65, Collision Actor ID: 41, Collision Actor Type: vehicle.audi.a2
Time: 51.05, Collision Actor ID: 43, Collision Actor Type: vehicle.tesla.model3
Time: 60.8, Collision Actor ID: 45, Collision Actor Type: vehicle.audi.a2
Time: 81.45, Collision Actor ID: 53, Collision Actor Type: vehicle.audi.a2
Time: 10.01, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 10.14, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 50.94, Collision Actor ID: 43, Collision Actor Type: vehicle.tesla.model3
Time: 31.45, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 83.06, Collision Actor ID: 49, Collision Actor Type: vehicle.audi.a2
Time: 88.59, Collision Actor ID: 53, Collision Actor Type: vehicle.audi.a2
Time: 89.08, Collision Actor ID: 53, Collision Actor Type: vehicle.audi.a2
Time: 86.93, Collision Actor ID: 53, Collision Actor Type: vehicle.audi.a2
Time: 13.13, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 48.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 51.88, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.68, Collision Actor ID: 33, Collision Actor Type: vehicle.tesla.model3
Time: 46.02, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 90.05, Collision Actor ID: 53, Collision Actor Type: vehicle.audi.a2
Time: 30.66, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 77.11, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 83.49, Collision Actor ID: 51, Collision Actor Type: vehicle.tesla.model3
Time: 78.08, Collision Actor ID: 51, Collision Actor Type: vehicle.tesla.model3
Time: 77.5, Collision Actor ID: 51, Collision Actor Type: vehicle.tesla.model3
Time: 64.32, Collision Actor ID: 46, Collision Actor Type: vehicle.audi.a2
Time: 74.17, Collision Actor ID: 50, Collision Actor Type: vehicle.audi.a2
Time: 75.36, Collision Actor ID: 49, Collision Actor Type: vehicle.audi.a2
Time: 75.98, Collision Actor ID: 49, Collision Actor Type: vehicle.audi.a2
Time: 78.59, Collision Actor ID: 49, Collision Actor Type: vehicle.audi.a2
Time: 83.23, Collision Actor ID: 49, Collision Actor Type: vehicle.audi.a2
Time: 80.84, Collision Actor ID: 49, Collision Actor Type: vehicle.audi.a2
