Time: 14.47, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.61, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.72, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.18, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 130.13, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 130.27, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 12.05, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 62.6, Collision Actor ID: 103, Collision Actor Type: vehicle.tesla.model3
Time: 75.0, Collision Actor ID: 106, Collision Actor Type: vehicle.tesla.model3
Time: 127.12, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 127.29, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 33.0, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.97, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 29.58, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.19, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 41.94, Collision Actor ID: 40, Collision Actor Type: vehicle.audi.a2
Time: 50.24, Collision Actor ID: 43, Collision Actor Type: vehicle.tesla.model3
Time: 51.74, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 12.01, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 61.31, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 72.26, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 82.81, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 11.99, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 63.24, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 75.24, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 65.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 83.0, Collision Actor ID: 46, Collision Actor Type: vehicle.tesla.model3
Time: 66.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 81.95, Collision Actor ID: 46, Collision Actor Type: vehicle.tesla.model3
Time: 10.87, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 10.62, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 53.52, Collision Actor ID: 39, Collision Actor Type: vehicle.audi.a2
Time: 62.07, Collision Actor ID: 43, Collision Actor Type: vehicle.tesla.model3
Time: 67.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 77.17, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 89.37, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 98.47, Collision Actor ID: 53, Collision Actor Type: vehicle.audi.a2
Time: 8.99, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.57, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 59.02, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 68.97, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 79.52, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 89.42, Collision Actor ID: 53, Collision Actor Type: vehicle.audi.a2
Time: 13.47, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 21.22, Collision Actor ID: 32, Collision Actor Type: vehicle.tesla.model3
Time: 13.58, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 22.08, Collision Actor ID: 32, Collision Actor Type: vehicle.tesla.model3
Time: 31.73, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 28.26, Collision Actor ID: 32, Collision Actor Type: vehicle.tesla.model3
Time: 33.66, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.46, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 13.43, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 16.76, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.31, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 41.13, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 84.04, Collision Actor ID: 99, Collision Actor Type: walker.pedestrian.0006
Time: 14.58, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.87, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.91, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 60.56, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 18.46, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.89, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 18.23, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 34.83, Collision Actor ID: 34, Collision Actor Type: vehicle.tesla.model3
Time: 70.09, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.71, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 15.2, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 103.1, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 16.14, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.01, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.89, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 93.36, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 103.31, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 15.15, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 70.67, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 102.62, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 58.73, Collision Actor ID: 39, Collision Actor Type: vehicle.audi.a2
Time: 100.28, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 13.66, Collision Actor ID: 62, Collision Actor Type: vehicle.tesla.model3
Time: 69.31, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 69.37, Collision Actor ID: 190, Collision Actor Type: vehicle.tesla.model3
Time: 80.87, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 25.57, Collision Actor ID: 211, Collision Actor Type: vehicle.tesla.model3
Time: 80.87, Collision Actor ID: 224, Collision Actor Type: vehicle.tesla.model3
Time: 15.55, Collision Actor ID: 241, Collision Actor Type: vehicle.tesla.model3
Time: 70.98, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.22, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 72.85, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 85.45, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 98.25, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 70.54, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 70.19, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 70.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.38, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.37, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 34.28, Collision Actor ID: 34, Collision Actor Type: vehicle.tesla.model3
Time: 39.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 100.58, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 104.23, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 69.33, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 92.17, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 51.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 33.13, Collision Actor ID: 34, Collision Actor Type: vehicle.tesla.model3
Time: 50.47, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.14, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 14.64, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 14.2, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 33.36, Collision Actor ID: 34, Collision Actor Type: vehicle.tesla.model3
Time: 38.91, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 38.24, Collision Actor ID: 34, Collision Actor Type: vehicle.tesla.model3
Time: 49.79, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 38.63, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.98, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.91, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 47.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 48.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.43, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.44, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.61, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 74.31, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 88.01, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 99.36, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 110.51, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 16.34, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 75.54, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 89.59, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 101.39, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 16.7, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 16.87, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 75.47, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 17.46, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 21.06, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.72, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 80.57, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 94.82, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 117.62, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 16.73, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 17.57, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 16.32, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 79.37, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 80.46, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 16.41, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 79.81, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 80.95, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 96.25, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 120.45, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 81.51, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 121.31, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 16.14, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 16.35, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 80.9, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 118.25, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 81.34, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 81.16, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 122.51, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 16.52, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 111.74, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 80.89, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 16.21, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 17.31, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 82.56, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 16.51, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 17.15, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 82.35, Collision Actor ID: 43, Collision Actor Type: vehicle.tesla.model3
Time: 118.75, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 17.22, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 18.21, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 18.17, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 81.04, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 16.65, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 80.15, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 95.15, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 109.75, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 118.7, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 16.26, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 17.42, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 17.25, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 17.06, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 79.91, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 94.26, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 17.72, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 17.6, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.62, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 10.93, Collision Actor ID: 74, Collision Actor Type: vehicle.tesla.model3
Time: 70.36, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 83.26, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 71.69, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 84.49, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 107.94, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 69.39, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 70.8, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 70.82, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 71.43, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 111.26, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 109.1, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 10.9, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 18.15, Collision Actor ID: 32, Collision Actor Type: vehicle.tesla.model3
Time: 11.6, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 23.4, Collision Actor ID: 32, Collision Actor Type: vehicle.tesla.model3
Time: 24.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 109.69, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 12.64, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 95.49, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 12.46, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.52, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 67.17, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 12.56, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 67.86, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 79.06, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 11.31, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.49, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.08, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.47, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.94, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.83, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.73, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.63, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.86, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.74, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.68, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.66, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.76, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.15, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 18.05, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.82, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 14.36, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.61, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.3, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.57, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.23, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.98, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 14.21, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 13.1, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.44, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.47, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.44, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.03, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.25, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 18.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.26, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.35, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 17.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.19, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 27.84, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.74, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.66, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.68, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.82, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.76, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.51, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
